material,historical_price,location,month,demand,supply,predicted_price
copper,550.91,Delhi,1,40,84,398.78
copper,530.66,Delhi,2,40,79,374.13
copper,710.0,Delhi,3,79,84,654.06
copper,864.72,Delhi,4,86,61,883.15
copper,825.02,Delhi,5,82,75,852.16
copper,823.45,Delhi,6,62,46,860.44
copper,746.98,Delhi,7,87,88,768.72
copper,868.73,Delhi,8,77,55,845.63
copper,696.46,Delhi,9,76,85,654.0
copper,858.91,Delhi,10,65,33,875.98
copper,771.25,Delhi,11,91,82,838.91
copper,908.49,Delhi,12,90,56,1071.27
copper,778.78,Mumbai,1,63,39,691.47
copper,760.82,Mumbai,2,69,77,701.25
copper,744.83,Mumbai,3,81,89,725.36
copper,936.16,Mumbai,4,89,50,991.22
copper,916.27,Mumbai,5,85,44,1027.49
copper,737.32,Mumbai,6,82,77,864.76
copper,767.1,Mumbai,7,68,62,837.98
copper,753.9,Mumbai,8,49,38,831.11
copper,801.54,Mumbai,9,87,70,817.04
copper,799.14,Mumbai,10,69,69,836.03
copper,889.23,Mumbai,11,71,32,1063.54
copper,704.96,Mumbai,12,51,59,822.94
copper,888.06,Bengaluru,1,85,34,768.21
copper,654.64,Bengaluru,2,61,76,520.68
copper,765.55,Bengaluru,3,95,77,723.61
copper,747.19,Bengaluru,4,54,41,703.07
copper,763.12,Bengaluru,5,82,81,737.14
copper,844.05,Bengaluru,6,89,65,910.78
copper,745.81,Bengaluru,7,65,61,728.61
copper,665.51,Bengaluru,8,76,74,603.7
copper,724.0,Bengaluru,9,55,38,680.27
copper,673.74,Bengaluru,10,65,79,659.1
copper,675.96,Bengaluru,11,51,85,626.25
copper,808.61,Bengaluru,12,79,49,916.62
copper,558.49,Kolkata,1,42,62,376.53
copper,716.3,Kolkata,2,84,71,539.89
copper,552.36,Kolkata,3,36,83,392.24
copper,723.77,Kolkata,4,53,74,585.27
copper,846.23,Kolkata,5,73,35,851.47
copper,703.13,Kolkata,6,45,65,677.88
